idx cal0 cal1 cal2 cal3 cal4 cal5 cal6 cal7 cal8 cal9 cal10 likelyhood	idx         	AGBc        	height      	LAI         	NPP         	NPP/GPP     
1 0.4220 0.4460 0.7780 0.0936 0.1690 0.4090 7.6600 0.5520 0.1580 6.4400 0.0269 0.0001	1	24.337309039216	27.224647627451	4.377188196078	1.472938921569	0.540949863632	
2 0.4216 0.4451 0.7639 0.0915 0.1689 0.4167 7.6664 0.5471 0.1632 6.7915 0.0273 0.00006000	2	24.231639078431	27.859096039216	4.474593294118	1.470046549020	0.539885679928	
3 0.4077 0.4392 0.7695 0.0890 0.1653 0.4101 7.7718 0.5366 0.1625 6.7462 0.0274 0.00005800	3	24.223919941176	27.655993882353	4.527256921569	1.469699941176	0.540986891461	
4 0.4077 0.4365 0.7746 0.0902 0.1618 0.4059 7.9436 0.5417 0.1583 6.7117 0.0276 0.00006000	4	24.169602901961	27.877440705882	4.492496274510	1.468461196078	0.545707987391	
5 0.4022 0.4316 0.7799 0.0914 0.1656 0.4140 8.0203 0.5316 0.1608 6.7504 0.0273 0.00006000	5	24.573930666667	29.080111235294	4.555819294118	1.468459784314	0.540314587104	
6 0.4000 0.4211 0.7859 0.0975 0.1644 0.4065 8.0027 0.5396 0.1627 6.3629 0.0267 0.00006400	6	25.228432941176	28.673097607843	4.425794960784	1.463758980392	0.529198261172	
8 0.4083 0.4291 0.7943 0.0971 0.1608 0.3884 8.1404 0.5497 0.1698 6.4738 0.0277 0.00006600	8	24.159682490196	27.060388882353	4.391837529412	1.460627725490	0.525612041718	
9 0.4196 0.4454 0.7794 0.0963 0.1549 0.3750 8.2103 0.5466 0.1730 6.0914 0.0281 0.00006100	9	22.977415823529	25.643012294118	4.333515705882	1.464803450980	0.518538425472	
10 0.4089 0.4358 0.7847 0.0961 0.1516 0.3760 8.2069 0.5549 0.1776 6.1644 0.0280 0.00006600	10	23.425206882353	25.914253372549	4.303492352941	1.458567352941	0.515134849791	
11 0.4167 0.4177 0.7775 0.0995 0.1558 0.3851 8.1633 0.5592 0.1758 6.1429 0.0289 0.00007500	11	23.295857607843	26.446202274510	4.263030372549	1.451790823529	0.516483969929	
12 0.4078 0.4270 0.7702 0.0996 0.1589 0.3919 8.2001 0.5683 0.1676 6.1378 0.0297 0.00007700	12	22.499142196078	26.721267019608	4.210420215686	1.452292137255	0.528252412938	
13 0.4073 0.4356 0.7741 0.1049 0.1552 0.3930 8.1033 0.5709 0.1673 6.1499 0.0296 0.00007500	13	22.316499294118	26.400626176471	4.205156627451	1.453807686275	0.525656479751	
14 0.4191 0.4416 0.7722 0.1067 0.1583 0.3976 8.2133 0.5684 0.1653 6.2092 0.0294 0.00007300	14	22.321580568627	27.136494843137	4.232762803922	1.459218215686	0.527194784314	
