m	k	po	pa	gw1	gw2
0.5	1.0	1.0	1.0	0.1	0.1
0.51	1.0	1.0	1.0	0.1	0.1
0.52	1.0	1.0	1.0	0.1	0.1
0.53	1.0	1.0	1.0	0.1	0.1
0.54	1.0	1.0	1.0	0.1	0.1
0.551	1.0	1.0	1.0	0.1	0.1
0.561	1.0	1.0	1.0	0.1	0.1
0.571	1.0	1.0	1.0	0.1	0.1
0.581	1.0	1.0	1.0	0.1	0.1
0.591	1.0	1.0	1.0	0.1	0.1
0.601	1.0	1.0	1.0	0.1	0.1
0.611	1.0	1.0	1.0	0.1	0.1
0.621	1.0	1.0	1.0	0.1	0.1
0.631	1.0	1.0	1.0	0.1	0.1
0.641	1.0	1.0	1.0	0.1	0.1
0.652	1.0	1.0	1.0	0.1	0.1
0.662	1.0	1.0	1.0	0.1	0.1
0.672	1.0	1.0	1.0	0.1	0.1
0.682	1.0	1.0	1.0	0.1	0.1
0.692	1.0	1.0	1.0	0.1	0.1
0.702	1.0	1.0	1.0	0.1	0.1
0.712	1.0	1.0	1.0	0.1	0.1
0.722	1.0	1.0	1.0	0.1	0.1
0.732	1.0	1.0	1.0	0.1	0.1
0.742	1.0	1.0	1.0	0.1	0.1
0.753	1.0	1.0	1.0	0.1	0.1
0.763	1.0	1.0	1.0	0.1	0.1
0.773	1.0	1.0	1.0	0.1	0.1
0.783	1.0	1.0	1.0	0.1	0.1
0.793	1.0	1.0	1.0	0.1	0.1
0.803	1.0	1.0	1.0	0.1	0.1
0.813	1.0	1.0	1.0	0.1	0.1
0.823	1.0	1.0	1.0	0.1	0.1
0.833	1.0	1.0	1.0	0.1	0.1
0.843	1.0	1.0	1.0	0.1	0.1
0.854	1.0	1.0	1.0	0.1	0.1
0.864	1.0	1.0	1.0	0.1	0.1
0.874	1.0	1.0	1.0	0.1	0.1
0.884	1.0	1.0	1.0	0.1	0.1
0.894	1.0	1.0	1.0	0.1	0.1
0.904	1.0	1.0	1.0	0.1	0.1
0.914	1.0	1.0	1.0	0.1	0.1
0.924	1.0	1.0	1.0	0.1	0.1
0.934	1.0	1.0	1.0	0.1	0.1
0.944	1.0	1.0	1.0	0.1	0.1
0.955	1.0	1.0	1.0	0.1	0.1
0.965	1.0	1.0	1.0	0.1	0.1
0.975	1.0	1.0	1.0	0.1	0.1
0.985	1.0	1.0	1.0	0.1	0.1
0.995	1.0	1.0	1.0	0.1	0.1
1.005	1.0	1.0	1.0	0.1	0.1
1.015	1.0	1.0	1.0	0.1	0.1
1.025	1.0	1.0	1.0	0.1	0.1
1.035	1.0	1.0	1.0	0.1	0.1
1.045	1.0	1.0	1.0	0.1	0.1
1.056	1.0	1.0	1.0	0.1	0.1
1.066	1.0	1.0	1.0	0.1	0.1
1.076	1.0	1.0	1.0	0.1	0.1
1.086	1.0	1.0	1.0	0.1	0.1
1.096	1.0	1.0	1.0	0.1	0.1
1.106	1.0	1.0	1.0	0.1	0.1
1.116	1.0	1.0	1.0	0.1	0.1
1.126	1.0	1.0	1.0	0.1	0.1
1.136	1.0	1.0	1.0	0.1	0.1
1.146	1.0	1.0	1.0	0.1	0.1
1.157	1.0	1.0	1.0	0.1	0.1
1.167	1.0	1.0	1.0	0.1	0.1
1.177	1.0	1.0	1.0	0.1	0.1
1.187	1.0	1.0	1.0	0.1	0.1
1.197	1.0	1.0	1.0	0.1	0.1
1.207	1.0	1.0	1.0	0.1	0.1
1.217	1.0	1.0	1.0	0.1	0.1
1.227	1.0	1.0	1.0	0.1	0.1
1.237	1.0	1.0	1.0	0.1	0.1
1.247	1.0	1.0	1.0	0.1	0.1
1.258	1.0	1.0	1.0	0.1	0.1
1.268	1.0	1.0	1.0	0.1	0.1
1.278	1.0	1.0	1.0	0.1	0.1
1.288	1.0	1.0	1.0	0.1	0.1
1.298	1.0	1.0	1.0	0.1	0.1
1.308	1.0	1.0	1.0	0.1	0.1
1.318	1.0	1.0	1.0	0.1	0.1
1.328	1.0	1.0	1.0	0.1	0.1
1.338	1.0	1.0	1.0	0.1	0.1
1.348	1.0	1.0	1.0	0.1	0.1
1.359	1.0	1.0	1.0	0.1	0.1
1.369	1.0	1.0	1.0	0.1	0.1
1.379	1.0	1.0	1.0	0.1	0.1
1.389	1.0	1.0	1.0	0.1	0.1
1.399	1.0	1.0	1.0	0.1	0.1
1.409	1.0	1.0	1.0	0.1	0.1
1.419	1.0	1.0	1.0	0.1	0.1
1.429	1.0	1.0	1.0	0.1	0.1
1.439	1.0	1.0	1.0	0.1	0.1
1.449	1.0	1.0	1.0	0.1	0.1
1.46	1.0	1.0	1.0	0.1	0.1
1.47	1.0	1.0	1.0	0.1	0.1
1.48	1.0	1.0	1.0	0.1	0.1
1.49	1.0	1.0	1.0	0.1	0.1
1.5	1.0	1.0	1.0	0.1	0.1

