idx cal0 cal1 cal2 cal3 cal4 cal5 cal6 cal7 cal8 cal9 cal10 likelyhood	idx         	AGBc        	height      	LAI         	NPP         	NPP/GPP     
1 0.4220 0.4460 0.7780 0.0936 0.1690 0.4090 7.6600 0.5520 0.1580 6.4400 0.0269 0.0001	1	0.056921622201	0.038109396237	0.316427946565	0.033287312184	2.510172291046	
2 0.4216 0.4451 0.7639 0.0915 0.1689 0.4167 7.6664 0.5471 0.1632 6.7915 0.0273 0.00006000	2	0.057193731601	0.039196260252	0.307442252885	0.034424239546	2.511494706232	
3 0.4077 0.4392 0.7695 0.0890 0.1653 0.4101 7.7718 0.5366 0.1625 6.7462 0.0274 0.00005800	3	0.057213099011	0.038864055991	0.301861245362	0.034562727226	2.510124251055	
4 0.4077 0.4365 0.7746 0.0902 0.1618 0.4059 7.9436 0.5417 0.1583 6.7117 0.0276 0.00006000	4	0.057347402037	0.039225512995	0.305599537235	0.035061642841	2.502885949215	
5 0.4022 0.4316 0.7799 0.0914 0.1656 0.4140 8.0203 0.5316 0.1608 6.7504 0.0273 0.00006000	5	0.056265915115	0.040854433352	0.298636185406	0.035062214999	2.510975272113	
6 0.4000 0.4211 0.7859 0.0975 0.1644 0.4065 8.0027 0.5396 0.1627 6.3629 0.0267 0.00006400	6	0.054136435288	0.040368860338	0.312168570454	0.037012991365	2.518502939707	
8 0.4083 0.4291 0.7943 0.0971 0.1608 0.3884 8.1404 0.5497 0.1698 6.4738 0.0277 0.00006600	8	0.057371555492	0.037805172380	0.315192591117	0.038364137853	2.518288819863	
9 0.4196 0.4454 0.7794 0.0963 0.1549 0.3750 8.2103 0.5466 0.1730 6.0914 0.0281 0.00006100	9	0.059379157546	0.034838880022	0.319856582183	0.036571585637	2.514085956676	
10 0.4089 0.4358 0.7847 0.0961 0.1516 0.3760 8.2069 0.5549 0.1776 6.1644 0.0280 0.00006600	10	0.058826960383	0.035449589736	0.321987711106	0.039276351575	2.510281685987	
11 0.4167 0.4177 0.7775 0.0995 0.1558 0.3851 8.1633 0.5592 0.1758 6.1429 0.0289 0.00007500	11	0.059013161546	0.036590915841	0.324560716846	0.042410393558	2.511927685883	
